key,n,num_tree,k,base,power,update_mu_mu,update_sigma_mu,update_s,update_alpha,store_lambda,num_burn,num_thin,num_save,num_chains
1,10000,1,0.1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
2,10000,1,0.1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
3,10000,1,0.1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
4,10000,1,0.1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
5,10000,1,0.5,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
6,10000,1,0.5,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
7,10000,1,0.5,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
8,10000,1,0.5,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
9,10000,1,1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
10,10000,1,1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
11,10000,1,1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
12,10000,1,1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
13,10000,5,0.1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
14,10000,5,0.1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
15,10000,5,0.1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
16,10000,5,0.1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
17,10000,5,0.5,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
18,10000,5,0.5,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
19,10000,5,0.5,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
20,10000,5,0.5,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
21,10000,5,1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
22,10000,5,1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
23,10000,5,1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
24,10000,5,1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
25,10000,10,0.1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
26,10000,10,0.1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
27,10000,10,0.1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
28,10000,10,0.1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
29,10000,10,0.5,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
30,10000,10,0.5,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
31,10000,10,0.5,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
32,10000,10,0.5,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
33,10000,10,1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
34,10000,10,1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
35,10000,10,1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
36,10000,10,1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
37,10000,25,0.1,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
38,10000,25,0.1,0.5,3,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
39,10000,25,0.1,0.95,2,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
40,10000,25,0.1,0.95,2,FALSE,TRUE,TRUE,TRUE,TRUE,5000,5,1000,1
41,10000,25,0.5,0.5,3,FALSE,TRUE,FALSE,FALSE,TRUE,5000,5,1000,1
